Artists,Album,Date,Year,Score,Tags,Genres
lianne la havas,Blood,5-Aug-15,2015,8,"['nonesuch', 'pop', 'soul', '8/10']","pop,soul"
lil ugly mane,Third Side of Tape,24-Jun-15,2015,8,"['compilation', 'self-released', 'richmond', 'hip hop', 'sound collage', 'other', '8/10']",hip hop
milo,so the flies don't come,30-Sep-15,2015,8,"['ruby yacht', 'hip hop', 'rap', 'abstract', '8/10']",hip hop
napalm death,APEX PREDATOR -- EASY MEAT,22-Jan-15,2015,8,"['century media', 'grindcore, deathgrind', 'death metal', 'rock']","rock,metal"
oneohtrix point never,Garden of Delete,11-Nov-15,2015,8,"['warp', 'electronic', 'abstract', 'glitch', 'industrial', 'plunderphonics', '8/10']",electronic
open mike eagle,A SPECIAL EPISODE OF,6-Feb-15,2015,8,"['self-released?', 'art rap, abstract hip hop']",hip hop
open mike eagle,A Special Episode Of EP,6-Feb-15,2015,8,"['hip hop', 'open mike eagle', 'rap', '8/10']",hip hop
ought,Sun Coming Down,25-Sep-15,2015,8,"['constellation', 'rock', 'post-punk', '8/10']","rock,punk"
panopticon,Autumn Eternal,5-Nov-15,2015,8,"['bindrune', 'loud rock', 'black metal', 'folk', '8/10']","rock,metal,folk"
prurient,Frozen Niagara Falls,20-Jun-15,2015,8,"['profound lore', 'other', 'noise', 'progressive synth', 'dark ambient', 'death industrial', 'power electronics', 'electroacoustic', '8/10']","electronic,ambient"
prurient,FROZEN NIAGARA FALLS,20-May-15,2015,8,"['profound lore records', 'noise, ambient, progressive synth, industrial, power electronics']","electronic,ambient"
sleaford mods,Key Markets,29-Jul-15,2015,8,"['harbinger sound', 'post-punk', 'rock', 'minimal wave', 'spoken word', '8/10']","rock,punk"
sophie,Product,7-Dec-15,2015,8,"['compilation', 'pc music', 'electronic', 'uk', 'bubblegum bass', 'trap', 'noise', 'electropop', '8/10', 'hip hop']","hip hop,pop,electronic"
the game,The Documentary 2.5,26-Oct-15,2015,8,"['blood money', 'entertainment one', 'hip hop', 'rap', 'west coast', 'g-funk', '8/10']","hip hop,funk"
the mountain goats,BEAT THE CHAMP,17-Apr-15,2015,8,"['merge records', 'indie folk, singer-songwriter']","singer-songwriter,folk"
the mountain goats,Beat The Champ,20-Jun-15,2015,8,"['8/10', 'merge', 'indie folk', 'singer-songwriter']","singer-songwriter,folk"
the underachievers,Evermore: The Art of Duality,21-Sep-15,2015,8,"['art of duality', 'rpm msc', 'hip hop', 'rap', 'east coast', 'conscious', '8/10']",hip hop
travis scott,Rodeo,7-Sep-15,2015,8,"['grand hustle', 'hip hop', 'rap', 'trap', 'southern', '8/10']",hip hop
unknown mortal orchestra,Multi-Love,20-Jun-15,2015,8,"['jagjaguwar', 'pop', 'lo-fi', 'psychedelic soul', '8/10']","pop,soul,psychedelic"
unknown mortal orchestra,MULTI-LOVE,3-Jun-15,2015,8,"['jagjaguwar', 'psych pop, lo-fi, psychedelic soul']","pop,soul,psychedelic"
young fathers,WHITE MEN ARE BLACK MEN TOO,7-Apr-15,2015,8,"['big dada', 'lo-fi pop, noise pop, experimental hip hop, grimy soul']","hip hop,pop,soul,experimental"
your old droog,Kinison EP,20-Jun-15,2015,8,"['ep', 'new york', 'self-released', 'hardcore hip hop', 'east coast hip hop', 'rap', '8/10']",hip hop
your old droog,KINISON EP,13-Feb-15,2015,8,"['self-released', 'hardcore hip hop, east coast hip hop']",hip hop
zs,XE,3-Feb-15,2015,8,"['northern spy records', 'experimental rock, jazz rock, minimalist rock, psych, drone, noise, avant-garde']","jazz,rock,experimental"
the i.l.y's,Scum with Boundaries,21-Jul-16,2016,8,"['third worlds', 'zach hill', 'flatlander', 'rock', 'noise pop', 'noise rock', 'art punk', 'synth punk', '8/10']","pop,rock,punk"
aesop rock,The Impossible Kid,6-May-16,2016,8,"['rhymesayers', 'rap', 'hip hop', 'abstract', '8/10']",hip hop
angel olsen,My Woman,8-Sep-16,2016,8,"['jagjaguwar', 'rock', 'singer-songwriter', 'indie', 'folk', '8/10']","rock,singer-songwriter,folk"
beyonce,Lemonade,27-Apr-16,2016,8,"['columbia', 'pop', 'alternative r&b', 'hard rock', 'funk', 'country', '8/10']","pop,r&b,funk,rock,country"
big ups,Before a Million Universes,4-Mar-16,2016,8,"['exploding in sound', 'new york', 'rock', 'post-hardcore', 'noise rock', 'post-punk', 'post-rock', '8/10']","rock,punk"
car seat headrest,Teens of Denial,24-May-16,2016,8,"['matador', 'rock', 'indie', 'lo-fi', 'bedroom pop', 'garage rock', '8/10']","pop,rock"
carly rae jepsen,Emotion: Side B,31-Aug-16,2016,8,"['ep', 'interscope', 'pop', 'dance pop', 'synthpop', 'electropop', '8/10']","pop,dance"
clipping.,Splendor & Misery,14-Sep-16,2016,8,"['sub pop', 'rap', 'hip hop', 'noise', 'spirituals', 'experimental hip hop', '8/10']","hip hop,pop,experimental"
conor oberst,Ruminations,26-Oct-16,2016,8,"['nonesuch', 'singer-songwriter', 'indie', 'folk', '8/10', 'loved']","singer-songwriter,folk"
crying,Beyond the Fleeting Gales,21-Oct-16,2016,8,"['run for cover', 'pop', 'power pop', 'lo-fi', 'indie', 'progressive pop', 'chiptune', 'twee', '8/10', 'loved']",pop
denzel curry,Imperial,16-Mar-16,2016,8,"['florida', 'self-released', 'rap', 'hip hop', 'southern', 'trap', 'cloud', '8/10']",hip hop
frank ocean,Blonde,23-Aug-16,2016,8,"['blond', 'endless', ""boys don't cry"", 'def jam', 'pop', 'alternative r&b', 'art pop', 'r&b', 'contemporary r&b', 'neo-soul', 'ambient pop', '8/10']","pop,r&b,soul,ambient"
gorguts,Pleiades' Dust,16-May-16,2016,8,"['ep', 'loud rock', 'season of mist', 'death metal', 'technical death metal', 'sludge metal', '8/10']","rock,metal"
injury reserve,Floss,16-Dec-16,2016,8,"['las fuegas', 'rap', 'hip hop', 'jazz rap', 'hardcore hip hop', 'trap', '8/10']","hip hop,jazz"
jeff rosenstock,Worry,20-Oct-16,2016,8,"['sideonedummy', 'rock', 'power pop', 'punk', '8/10', 'loved']","pop,rock,punk"
ka,Honor Killed the Samurai,29-Aug-16,2016,8,"['iron works', 'rap', 'hip hop', 'east coast', 'spoken word', 'experimental hip hop', '8/10']","hip hop,experimental"
kendrick lamar,untitled unmastered.,6-Mar-16,2016,8,"['tde', 'rap', 'hip hop', 'jazz', 'funk', 'lo-fi', '8/10']","hip hop,jazz,funk"
kero kero bonito,Bonito Generation,10-Nov-16,2016,8,"['double denim', 'uk', 'japan', 'pop', 'rap', 'hip hop', 'electropop', 'bitpop', 'j-pop', 'synthpop', 'bubblegum bass', '8/10', 'loved']","hip hop,pop"
king gizzard & the lizard wizard,Nonagon Infinity,5-May-16,2016,8,"['flightless', 'rock', 'heavy psych', 'garage punk', 'noise rock', '8/10']","rock,punk"
lemon demon,Spirit Phone,10-Mar-16,2016,8,"['spirit phone', 'self-released', 'pop', 'new wave', 'post-punk', 'synthpop', 'electro rock', 'synth punk', '8/10']","pop,rock,punk"
marissa nadler,Strangers,25-May-16,2016,8,"['sacred bones', 'singer-songwriter', 'psych folk', 'dream pop', 'contemporary folk', '8/10']","pop,singer-songwriter,folk"
moonsorrow,Jumalten Aika,27-May-16,2016,8,"['century media', 'loud rock', 'black metal', 'symphonic metal', 'folk metal', 'viking metal', '8/10']","rock,metal,folk"
nails,You Will Never Be One of Us,21-Jun-16,2016,8,"['nuclear blast', 'loud rock', 'powerviolence', 'metalcore', 'hardcore punk', 'crust punk', 'grindcore', 'sludge metal', '8/10']","rock,punk,metal"
neurosis,Fires Within Fires,29-Sep-16,2016,8,"['neurot', 'loud rock', 'sludge metal', 'atmospheric', 'post-metal', 'doom metal', 'post-rock', 'experimental rock', '8/10']","rock,metal,experimental"
