Artists,Album,Date,Year,Score,Tags,Genres
"billy woods<,>kenny segal",Hiding Places,5-Apr-19,2019,8,"['hiding places', 'collab', 'collaboration', 'backwoodz studioz', 'rap', 'hip hop', 'abstract hip hop', '8/10']",hip hop
ibibio sound machine,Doko Mien,9-Apr-19,2019,7,"['merge', 'other', 'afrobeat', 'funk', 'electro', '7/10']",funk
quelle chris,Guns,10-Apr-19,2019,8,"['mello music group', 'rap', 'hip hop', 'jazz rap', 'conscious hip hop', 'political', '8/10']","hip hop,jazz"
weyes blood,Titanic Rising,11-Apr-19,2019,9,"['sub pop', 'pop', 'baroque pop', 'art pop', 'dream pop', 'progressive pop', '9/10']",pop
show me the body,Dog Whistle,12-Apr-19,2019,7,"['loma vista', 'loud rock', 'new york', 'hardcore punk', 'noise rock', '7/10']","rock,punk"
pup,Morbid Stuff,15-Apr-19,2019,8,"['rise', 'rock', 'pop punk', 'power pop', 'post-hardcore', '8/10']","pop,rock,punk"
bts,Map of the Soul: Persona,16-Apr-19,2019,5,"['persona', 'ep', 'big hit', 'pop', 'k-pop', 'pop rap', '5/10', 'hip hop']","hip hop,pop"
the chemical brothers,No Geography,17-Apr-19,2019,6,"['astralwerks', 'electronic', 'house', 'big beat', '6/10']","electronic,house"
anderson .paak,Ventura,18-Apr-19,2019,7,"['aftermath', 'pop', 'neo-soul', 'funk', 'hip hop', 'west coast', 'r&b', '7/10']","hip hop,pop,r&b,soul,funk"
aries,Welcome Home,20-Apr-19,2019,6,"['wunderworld', 'rap', 'hip hop', 'trap', 'emo', 'alternative r&b', '6/10']","hip hop,r&b"
lizzo,Cuz I Love You,22-Apr-19,2019,8,"['atlantic', 'rap', 'hip hop', 'pop', 'soul', 'r&b', '8/10']","hip hop,pop,r&b,soul"
dos monos,Dos City,23-Apr-19,2019,7,"['deathbomb arc', 'rap', 'hip hop', 'japanese', 'experimental hip hop', 'abstract hip hop', 'boom bap', '7/10']","hip hop,experimental"
cage the elephant,Social Cues,24-Apr-19,2019,5,"['rca', 'rock', 'post-punk revival', 'pop rock', '5/10']","pop,rock,punk"
your old droog,It Wasn't Even Close,26-Apr-19,2019,7,"['gogul mogul', 'rap', 'hip hop', 'east coast', '7/10']",hip hop
beyonce,HOMECOMING: The Live Album,27-Apr-19,2019,8,"['live', 'coachella', 'parkwood', 'pop', 'contemporary r&b', 'brass', 'pop rap', '8/10', 'hip hop']","hip hop,pop,r&b"
kevin abstract,ARIZONA BABY,29-Apr-19,2019,6,"['question everything', 'rap', 'hip hop', 'pop', 'alternative r&b', '6/10']","hip hop,pop,r&b"
sunn o))),Life Metal,30-Apr-19,2019,7,"['southern lord', 'loud rock', 'metal', 'drone', '7/10']","rock,metal"
schoolboy q,CrasH Talk,1-May-19,2019,5,"['tde', 'top dawg', 'rap', 'hip hop', 'west coast', 'trap', '5/10']",hip hop
"rico nasty<,>kenny beats",Anger Management,2-May-19,2019,6,"['anger management', 'sugar trap', 'self-released', 'rap', 'hip hop', 'trap', 'hardcore hip hop', '6/10']",hip hop
king gizzard & the lizard wizard,Fishing for Fishies,13-May-19,2019,7,"['flightless', 'rock', 'boogie', 'psych pop', 'psychedelic', '7/10']","pop,rock,psychedelic"
gus dapperton,Where Polly People Go to Read,14-May-19,2019,4,"['awal', 'pop', 'hypnagogic pop', '4/10']",pop
slauson malone,"A Quiet Farwell, 2016-2018",16-May-19,2019,8,"['self-released', 'grand closing', 'sound collage', 'experimental hip hop', 'abstract', 'glitch', 'other', '8/10']","hip hop,experimental"
logic,Confessions of a Dangerous Mind,17-May-19,2019,1,"['visionary music group', 'rap', 'hip hop', 'pop rap', '1/10']","hip hop,pop"
mac demarco,Here Comes the Cowboy,18-May-19,2019,3,"[""mac's"", 'self-released', 'singer-songwriter', 'other', 'indie pop', 'soft rock', 'slowcore', '3/10']","pop,rock,singer-songwriter"
vampire weekend,Father of the Bride,20-May-19,2019,6,"['sony', 'rock', 'indie', 'pop', '6/10']","pop,rock"
big thief,U.F.O.F.,21-May-19,2019,5,"['u.f.o.f.', '4ad', 'other', 'indie', 'folk', 'dream pop', '5/10']","pop,folk"
"tyler, the creator",IGOR,22-May-19,2019,9,"['columbia', 'rap', 'hip hop', 'neo-soul', 'alternative r&b', '9/10']","hip hop,r&b,soul"
carly rae jepsen,Dedicated,23-May-19,2019,7,"['interscope', 'pop', 'dance pop', 'synthpop', '7/10']","pop,dance"
injury reserve,Injury Reserve,24-May-19,2019,7,"['loma vista', 'rap', 'hip hop', 'glitch hop', 'industrial hip hop', 'experimental hip hop', 'hardcore hip hop', '7/10']","hip hop,experimental"
"young nudy<,>pi'erre bourne",Sli'merre,27-May-19,2019,4,"[""sli'merre"", 'self-released', 'rap', 'hip hop', 'trap', '4/10', 'collab']",hip hop
megan thee stallion,Fever,28-May-19,2019,7,"['300 entertainment', 'rap', 'hip hop', 'trap', 'dirty south', 'hardcore hip hop', '7/10']",hip hop
slowthai,Nothing Great About Britain,29-May-19,2019,8,"['method', 'true panther', 'rap', 'hip hop', 'uk', 'grime', '8/10']",hip hop
rammstein,Untitled,30-May-19,2019,5,"['self-titled', 'universal', 'loud rock', 'neue deutsche harte', 'ndh', 'electro-industrial', 'industrial metal', '5/10']","rock,metal"
flying lotus,Flamagra,31-May-19,2019,5,"['warp', 'nu jazz', 'electronic', 'wonky', 'glitch hop', 'neo-soul', '5/10']","soul,jazz,electronic"
dj khaled,Father of Asahd,2-Jun-19,2019,-1,"['we the best', 'rap', 'hip hop', 'pop rap']","hip hop,pop"
steve lacy,Apollo XXI,3-Jun-19,2019,3,"['3qtr', 'pop', 'neo-soul', 'neo-psychedelia', '3/10']","pop,soul"
full of hell,Weeping Choir,4-Jun-19,2019,6,"['loud rock', 'noise', 'metal', 'grindcore', 'deathgrind', 'sludge metal', '6/10']","rock,metal"
denzel curry,ZUU,6-Jun-19,2019,8,"['loma vista', 'rap', 'hip hop', 'southern hip hop', 'trap', '8/10']",hip hop
the national,I Am Easy to Find,7-Jun-19,2019,4,"['4ad', 'rock', 'indie', 'chamber pop', 'post-punk revival', '4/10']","pop,rock,punk"
100 gecs,1000 gecs,10-Jun-19,2019,7,"['dog show', 'other', 'electropop', 'deconstructed club', 'glitch', 'nightcore', 'experimental pop', 'bubblegum bass', 'emo rap', 'trap', '7/10', 'hip hop']","hip hop,pop,experimental"
miley cyrus,She Is Coming,11-Jun-19,2019,1,"['ep', 'rca', 'pop', 'electropop', 'trap', 'rap', '1/10', 'hip hop']","hip hop,pop"
the mountain goats,In League with Dragons,12-Jun-19,2019,4,"['merge', 'other', 'singer-songwriter', 'indie', 'folk', 'chamber pop', '4/10']","pop,singer-songwriter,folk"
jai paul,Leak 04-13 (Bait Ones),13-Jun-19,2019,6,"['bait ones', 'xl', 'pop', 'alternative r&b', 'indietronica', 'art pop', '6/10']","pop,r&b"
otoboke beaver,Itekoma Hits,17-Jun-19,2019,9,"['damnably', 'loud rock', 'noise rock', 'hardcore', 'punk', 'japan', 'riot grrrl', '9/10']","rock,punk"
holly herndon,PROTO,19-Jun-19,2019,5,"['4ad', 'other', 'choral', 'art pop', 'glitch', 'generative', '5/10']",pop
baroness,Gold & Grey,20-Jun-19,2019,5,"['abraxan hymns', 'loud rock', 'metal', 'alternative rock', 'stoner metal', 'sludge', 'heavy psych', '5/10']","rock,metal"
waste of space orchestra,Syntheosis,21-Jun-19,2019,6,"['loud rock', 'metal', 'svart', 'post-metal', 'psychedelic', 'space rock', 'doom', '6/10']","rock,metal,psychedelic"
lil nas x,7,24-Jun-19,2019,6,"['ep', 'rap', 'hip hop', 'columbia', 'pop rap', 'trap', 'country', 'alternative rock', '6/10']","hip hop,pop,rock,country"
bill callahan,Shepherd in a Sheepskin Vest,26-Jun-19,2019,7,"['drag city', 'other', 'singer-songwriter', 'americana', 'folk', '7/10']","singer-songwriter,folk"
daphni,Sizzling,27-Jun-19,2019,8,"['ep', 'jiaolong', 'electronic', 'nu-disco', 'tech house', '8/10']","electronic,house"
black midi,Schlagenheim,28-Jun-19,2019,8,"['rough trade', 'rock', 'experimental rock', 'noise rock', 'math rock', 'post-punk', 'no wave', '8/10']","rock,punk,experimental"
ajr,Neotheater,1-Jul-19,2019,-1,"['bmg', 'pop', 'electropop', 'millennial pop']",pop
prince,Originals,2-Jul-19,2019,8,"['npg', 'warner bros', 'pop', 'synth funk', 'r&b', 'soul', 'archival', '8/10']","pop,r&b,soul,funk"
kirin j. callinan,Return to Center,3-Jul-19,2019,8,"['terrible', 'pop', 'rock', 'art pop', 'sophisti-pop', 'covers', '8/10']","pop,rock"
"freddie gibbs<,>madlib",Bandana,4-Jul-19,2019,8,"['bandana', 'collaboration', 'keep cool', 'rap', 'hip hop', 'gangsta rap', 'boom bap', 'jazz rap', '8/10']","hip hop,jazz"
thom yorke,ANIMA,5-Jul-19,2019,7,"['xl', 'electronic', 'ambient pop', 'glitch', 'minimal techno', 'idm', '7/10']","pop,electronic,techno,ambient"
jaden,ERYS,8-Jul-19,2019,3,"['roc nation', 'rap', 'hip hop', 'pop rap', 'trap', 'alternative r&b', 'rap rock', '3/10']","hip hop,pop,r&b,rock"
pi'erre bourne,The Life of Pi'erre 4,9-Jul-19,2019,3,"['interscope', 'rap', 'hip hop', 'trap', 'alternative r&b', '3/10']","hip hop,r&b"
the raconteurs,Help Us Stranger,10-Jul-19,2019,5,"['third man', 'rock', 'blues rock', 'garage rock', '5/10']",rock
dreamville,Revenge of the Dreamers III,12-Jul-19,2019,6,"['revenge of the dreamers 3', 'rap', 'hip hop', 'conscious', 'trap', '6/10']",hip hop
kim petras,Clarity,15-Jul-19,2019,6,"['bunhead', 'pop', 'electropop', 'contemporary r&b', 'trap', '6/10', 'hip hop']","hip hop,pop,r&b"
daniel caesar,Case Study 01,16-Jul-19,2019,5,"['golden child', 'pop', 'alternative r&b', 'neo-soul', '5/10']","pop,r&b,soul"
ed sheeran,No.6 Collaborations Project,17-Jul-19,2019,-1,"['atlantic', 'collab', 'collaboration', 'pop', 'rap', 'hip hop']","hip hop,pop"
poppy,Choke,18-Jul-19,2019,7,"['mad decent', 'pop', 'futurepop', 'electro-industrial', 'alternative metal', '7/10']","pop,metal"
uboa,The Origin of My Depression,19-Jul-19,2019,8,"['self-released', 'other', 'experimental', 'noise', 'dark ambient', 'death industrial', '8/10']","ambient,experimental"
big k.r.i.t.,K.R.I.T. Iz Here,23-Jul-19,2019,4,"['multi alumni', 'rap', 'hip hop', 'trap', 'southern hip hop', '4/10']",hip hop
blood orange,Angel's Pulse,24-Jul-19,2019,6,"['mixtape', 'domino', 'pop', 'alternative r&b', 'hypnagogic pop', 'neo-soul', '6/10']","pop,r&b,soul"
lingua ignota,Caligula,25-Jul-19,2019,9,"['profound lore', 'other', 'neoclassical darkwave', 'death industrial', 'rock']",rock
benny the butcher,The Plugs I Met,27-Jul-19,2019,6,"['black soprano family', 'ep', 'rap', 'hip hop', 'east coast', 'boom bap', 'gangsta', '6/10']",hip hop
dorian electra,Flamboyant,29-Jul-19,2019,8,"['self-released', 'pop', 'bubblegum bass', 'electropop', '8/10']",pop
chance the rapper,The Big Day,30-Jul-19,2019,0,"['self-released', 'rap', 'hip hop', 'pop rap', 'gospel', 'neo-soul', 'contemporary r&b', '0/10']","hip hop,pop,r&b,soul"
purple mountains,Purple Mountains,1-Aug-19,2019,8,"['drag city', 'other', 'singer-songwriter', 'alt-country', 'folk rock', 'indie', '8/10']","rock,singer-songwriter,folk,country"
ybn cordae,The Lost Boy,2-Aug-19,2019,7,"['atlantic', 'rap', 'hip hop', 'conscious', 'trap', 'jazz rap', '7/10']","hip hop,jazz"
rich brian,The Sailor,5-Aug-19,2019,6,"['88rising', 'rap', 'hip hop', 'trap', 'art pop', 'alternative r&b', '6/10']","hip hop,pop,r&b"
clairo,Immunity,7-Aug-19,2019,5,"['pop', 'indie', 'bedroom pop', 'r&b', '5/10']","pop,r&b"
oliver tree,Do You Feel Me?,8-Aug-19,2019,7,"['atlantic', 'ep', 'pop', 'rap', 'electropop', 'pop rock', '7/10', 'hip hop']","hip hop,pop,rock"
tomb mold,Planetary Clairvoyance,12-Aug-19,2019,6,"['20 buck spin', 'metal', 'loud rock', 'death metal', '6/10']","rock,metal"
bon iver,"i,i",13-Aug-19,2019,6,"['jagjaguwar', 'pop', 'art pop', 'glitch', 'folktronica', '6/10']","pop,folk"
